Symbol,Description,GeneID,padj,pvalue,lfcSE,stat,log2FoldChange,baseMean,ingested_at
MLH3,mutL homolog 3,27030,1.86e-05,1.16e-09,0.3209,6.08522,1.95283,660.07,2026-04-21T13:51:27.123139+00:00
PDZK1IP1,PDZK1 interacting protein 1,10158,3.18e-05,4.35e-09,0.5329,5.87034,3.12859,262.25,2026-04-21T13:51:27.123139+00:00
ENKUR,"enkurin, TRPC channel interacting protein",219670,3.18e-05,5.97e-09,0.2647,5.81756,1.54009,121.0,2026-04-21T13:51:27.123139+00:00
CXCL5,C-X-C motif chemokine ligand 5,6374,3.77e-05,9.44e-09,0.3414,5.74051,1.95981,187.16,2026-04-21T13:51:27.123139+00:00
LOC102724765,uncharacterized LOC102724765,102724765,0.000122,3.82e-08,0.2572,5.49908,1.41457,484.43,2026-04-21T13:51:27.123139+00:00
LOC100287036,uncharacterized LOC100287036,100287036,0.0001703,6.39e-08,0.3044,5.40746,1.64614,157.43,2026-04-21T13:51:27.123139+00:00
SAMD4A-AS1,SAMD4A antisense RNA 1,729451,0.0001792,7.85e-08,0.3416,5.37056,1.83465,73.38,2026-04-21T13:51:27.123139+00:00
MAP3K7CL,MAP3K7 C-terminal like,56911,0.0003651,1.83e-07,0.2959,5.21606,1.54358,1271.78,2026-04-21T13:51:27.123139+00:00
IGFBP2,insulin like growth factor binding protein 2,3485,0.0006275,4.32e-07,0.4584,5.05435,2.31685,66.68,2026-04-21T13:51:27.123139+00:00
CCR8,C-C motif chemokine receptor 8,1237,0.0006275,4.28e-07,0.3075,5.05604,1.55474,65.13,2026-04-21T13:51:27.123139+00:00
TRNE,tRNA-Glu,4556,0.0006275,3.78e-07,0.4109,5.07953,2.08735,140.13,2026-04-21T13:51:27.123139+00:00
C2orf88,chromosome 2 open reading frame 88,84281,0.0012441,1.01e-06,0.3251,4.8893,1.58944,287.04,2026-04-21T13:51:27.123139+00:00
LINC00892,long intergenic non-protein coding RNA 892,100128420,0.0012441,9.93e-07,0.2617,4.89295,1.28058,75.71,2026-04-21T13:51:27.123139+00:00
NAT8B,"N-acetyltransferase 8B (putative, gene/pseudogene)",51471,0.0013698,1.2e-06,0.284,4.85566,1.37898,44.13,2026-04-21T13:51:27.123139+00:00
THRB-AS2,THRB antisense RNA 2,101927854,0.0015389,1.44e-06,0.3501,4.8188,1.68684,287.16,2026-04-21T13:51:27.123139+00:00
MIR4435-2HG,MIR4435-2 host gene,541471,0.001635,1.64e-06,0.1997,4.79377,0.95739,270.89,2026-04-21T13:51:27.123139+00:00
LOC107984727,uncharacterized LOC107984727,107984727,0.0016352,1.74e-06,0.4084,4.78158,1.95258,11.6,2026-04-21T13:51:27.123139+00:00
CA2,carbonic anhydrase 2,760,0.0019324,2.18e-06,0.3171,4.73633,1.50185,576.97,2026-04-21T13:51:27.123139+00:00
LOC105377275,uncharacterized LOC105377275,105377275,0.0019706,2.34e-06,0.3551,4.72137,1.67679,27.48,2026-04-21T13:51:27.123139+00:00
LINC00989,long intergenic non-protein coding RNA 989,100506035,0.0021017,2.76e-06,0.4689,4.68782,2.19789,226.28,2026-04-21T13:51:27.123139+00:00
RAB27B,"RAB27B, member RAS oncogene family",5874,0.0021017,2.76e-06,0.2922,4.68821,1.36983,61.6,2026-04-21T13:51:27.123139+00:00
LOC107985270,,107985270,0.0025115,3.46e-06,0.5199,4.64161,2.41319,104.31,2026-04-21T13:51:27.123139+00:00
BCL2L1,BCL2 like 1,598,0.0025322,3.79e-06,0.1618,4.62243,0.748124,249.79,2026-04-21T13:51:27.123139+00:00
SNAI1,snail family transcriptional repressor 1,6615,0.0025322,3.8e-06,1.2975,-4.6219,-5.99696,324.89,2026-04-21T13:51:27.123139+00:00
PIF1,PIF1 5'-to-3' DNA helicase,80119,0.003152,4.93e-06,0.34,4.56774,1.55308,39.05,2026-04-21T13:51:27.123139+00:00
CLSTN3,calsyntenin 3,9746,0.0043362,7.05e-06,0.2941,4.49206,1.32114,175.12,2026-04-21T13:51:27.123139+00:00
TSC22D1,TSC22 domain family member 1,8848,0.0043568,7.73e-06,0.2523,4.47244,1.12844,883.45,2026-04-21T13:51:27.123139+00:00
IGLV3-27,immunoglobulin lambda variable 3-27,28791,0.0043568,7.59e-06,0.4582,4.47629,2.05103,55.53,2026-04-21T13:51:27.123139+00:00
IGLV2-5,immunoglobulin lambda variable 2-5 (pseudogene),28818,0.0043568,7.91e-06,0.2554,4.46774,1.14113,48.9,2026-04-21T13:51:27.123139+00:00
RNF5P1,ring finger protein 5 pseudogene 1,286140,0.0044991,8.65e-06,0.426,4.44855,1.89509,22.35,2026-04-21T13:51:27.123139+00:00
RSU1,Ras suppressor protein 1,6251,0.0044991,8.73e-06,0.144,4.44654,0.640372,2441.19,2026-04-21T13:51:27.123139+00:00
LOC105371967,uncharacterized LOC105371967,105371967,0.004661,9.33e-06,0.3527,4.4321,1.56321,35.28,2026-04-21T13:51:27.123139+00:00
LOC107985819,,107985819,0.0049838,1.03e-05,0.5657,4.41099,2.49525,27.31,2026-04-21T13:51:27.123139+00:00
PTGS2,prostaglandin-endoperoxide synthase 2,5743,0.00542,1.19e-05,0.4823,-4.37998,-2.11242,144.98,2026-04-21T13:51:27.123139+00:00
ABCC3,ATP binding cassette subfamily C member 3,8714,0.00542,1.17e-05,0.3234,4.38393,1.41762,639.62,2026-04-21T13:51:27.123139+00:00
