ID,GB_ACC,adj.P.Val,P.Value,t,B,logFC,SPOT_ID,ingested_at
SOCS3,NM_003955.4,0.0663,0.000131,4.30919,1.052,0.911145,,2026-04-21T13:38:22.490663+00:00
PIK3R1,NM_181504.2,0.0663,0.000298,4.02618,0.329,0.62328,,2026-04-21T13:38:22.490663+00:00
TNFAIP3,NM_006290.2,0.0663,0.000313,4.00898,0.286,0.961649,,2026-04-21T13:38:22.490663+00:00
ECHS1,NM_004092.3,0.143,0.000947,-3.6183,-0.685,-0.280607,,2026-04-21T13:38:22.490663+00:00
MAP3K8,NM_001244134.1,0.143,0.001126,3.55581,-0.837,0.626563,,2026-04-21T13:38:22.490663+00:00
MAPK3,NM_001040056.1,0.287,0.00297,-3.19892,-1.682,-0.324488,,2026-04-21T13:38:22.490663+00:00
RORA,NM_002943.3,0.287,0.003164,3.17522,-1.737,0.548991,,2026-04-21T13:38:22.490663+00:00
CEACAM3,NM_001815.3,0.3282,0.004596,3.03312,-2.06,0.982821,,2026-04-21T13:38:22.490663+00:00
CD69,NM_001781.1,0.3282,0.004957,3.004,-2.125,0.674367,,2026-04-21T13:38:22.490663+00:00
YES1,NM_005433.3,0.3282,0.005169,2.98783,-2.161,0.619744,,2026-04-21T13:38:22.490663+00:00
HLA-DQA1,NM_002122.3,0.332,0.006491,-2.89915,-2.357,-3.48693,,2026-04-21T13:38:22.490663+00:00
CEACAM1,NM_001712.4,0.332,0.006546,2.89582,-2.364,0.730645,,2026-04-21T13:38:22.490663+00:00
ARG1,NM_000045.3,0.332,0.008194,2.80714,-2.556,1.03974,,2026-04-21T13:38:22.490663+00:00
SLC2A3/14,NM_006931.2,0.332,0.009094,2.76556,-2.645,0.366103,,2026-04-21T13:38:22.490663+00:00
CCR2,NM_001123041.2,0.332,0.00948,-2.74887,-2.681,-0.584392,,2026-04-21T13:38:22.490663+00:00
CBLB,NM_170662.3,0.332,0.010283,2.71612,-2.75,0.40609,,2026-04-21T13:38:22.490663+00:00
HLA-DQB1,NM_002123.3,0.332,0.010465,-2.70903,-2.765,-3.07243,,2026-04-21T13:38:22.490663+00:00
