symbol,geneid,node2,node1_string_id,node2_string_id,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
TROAP,10024,CCNB2,9606.ENSP00000257909,9606.ENSP00000288207,0.0,0.0,0.282,0.674
TROAP,10024,TPX2,9606.ENSP00000257909,9606.ENSP00000300403,0.0,0.0,0.274,0.676
KIF20A,10112,CDCA3,9606.ENSP00000378356,9606.ENSP00000442068,0.0,0.0,0.522,0.93
NAMPT,10135,IL1B,9606.ENSP00000222553,9606.ENSP00000263341,0.0,0.0,0.584,0.661
NAMPT,10135,ICAM1,9606.ENSP00000222553,9606.ENSP00000264832,0.0,0.0,0.372,0.432
PDZK1IP1,10158,TAL1,9606.ENSP00000294338,9606.ENSP00000294339,0.0,0.0,0.529,0.536
LOC102723407,102723407,DUSP8,9606.ENSP00000478289,9606.ENSP00000380530,0.0,0.0,0.58,0.58
LOC102723407,102723407,PBX1,9606.ENSP00000478289,9606.ENSP00000405890,0.0,0.0,0.506,0.506
LOC102723407,102723407,IGHV3-11,9606.ENSP00000478289,9606.ENSP00000474135,0.0,0.54,0.104,0.59
EDAR,10913,TNFRSF21,9606.ENSP00000258443,9606.ENSP00000296861,0.0,0.0,0.575,0.575
SDS,10993,HGD,9606.ENSP00000257549,9606.ENSP00000283871,0.0,0.0,0.462,0.497
UBE2C,11065,CDCA7,9606.ENSP00000348838,9606.ENSP00000306968,0.088,0.0,0.341,0.594
UBE2C,11065,AURKB,9606.ENSP00000348838,9606.ENSP00000313950,0.053,0.4,0.704,0.955
UBE2C,11065,RRM2,9606.ENSP00000348838,9606.ENSP00000353770,0.068,0.0,0.749,0.931
MED12L,116931,THRB,9606.ENSP00000417235,9606.ENSP00000379904,0.064,0.65,0.0,0.658
CLU,1191,MMP9,9606.ENSP00000315130,9606.ENSP00000361405,0.292,0.0,0.614,0.718
CCR8,1237,CCR10,9606.ENSP00000326432,9606.ENSP00000332504,0.0,0.5,0.531,0.755
CCR8,1237,ULBP2,9606.ENSP00000326432,9606.ENSP00000356320,0.0,0.0,0.723,0.723
CCR8,1237,MMP9,9606.ENSP00000326432,9606.ENSP00000361405,0.0,0.0,0.399,0.401
CREM,1390,SIK1,9606.ENSP00000265372,9606.ENSP00000270162,0.0,0.0,0.599,0.606
SCGB1C1,147199,GP9,9606.ENSP00000344545,9606.ENSP00000303942,0.0,0.0,0.0,0.426
SCGB1C1,147199,AQP10,9606.ENSP00000344545,9606.ENSP00000318355,0.0,0.0,0.0,0.434
SIK1,150094,CREM,9606.ENSP00000270162,9606.ENSP00000265372,0.0,0.0,0.599,0.606
SIK1,150094,CSRNP1,9606.ENSP00000270162,9606.ENSP00000273153,0.0,0.0,0.187,0.45
CXADR,1525,AFAP1L2,9606.ENSP00000284878,9606.ENSP00000303042,0.0,0.0,0.444,0.444
DUSP8,1850,LOC102723407,9606.ENSP00000380530,9606.ENSP00000478289,0.0,0.0,0.58,0.58
E2F2,1870,AURKB,9606.ENSP00000355249,9606.ENSP00000313950,0.0,0.0,0.388,0.459
E2F2,1870,RRM2,9606.ENSP00000355249,9606.ENSP00000353770,0.0,0.0,0.354,0.435
EGF,1950,OSM,9606.ENSP00000265171,9606.ENSP00000215781,0.0,0.0,0.577,0.577
EGF,1950,SPARC,9606.ENSP00000265171,9606.ENSP00000231061,0.0,0.0,0.596,0.598
EGF,1950,IGFBP2,9606.ENSP00000265171,9606.ENSP00000233809,0.0,0.0,0.47,0.47
EGF,1950,TNFAIP6,9606.ENSP00000265171,9606.ENSP00000243347,0.133,0.0,0.416,0.472
EGF,1950,SNAI1,9606.ENSP00000265171,9606.ENSP00000244050,0.0,0.0,0.702,0.702
EGF,1950,KRT5,9606.ENSP00000265171,9606.ENSP00000252242,0.0,0.0,0.514,0.514
EGF,1950,SMAD7,9606.ENSP00000265171,9606.ENSP00000262158,0.0,0.0,0.419,0.418
