symbol,geneid,description,pvalue,padj,log2foldchange,stat,basemean,ingested_at,bronze_source_file,series_id,gb_acc,neg_log10_pvalue,dataset_id
MLH3,27030,mutL homolog 3,1.16e-09,1.86e-05,1.95283,6.08522,660.07,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,4.731,NOS0001
PDZK1IP1,10158,PDZK1 interacting protein 1,4.35e-09,3.18e-05,3.12859,5.87034,262.25,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,4.497,NOS0001
ENKUR,219670,"enkurin, TRPC channel interacting protein",5.97e-09,3.18e-05,1.54009,5.81756,121.0,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,4.497,NOS0001
CXCL5,6374,C-X-C motif chemokine ligand 5,9.44e-09,3.77e-05,1.95981,5.74051,187.16,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,4.423,NOS0001
SAMD4A-AS1,729451,SAMD4A antisense RNA 1,7.85e-08,0.0001792,1.83465,5.37056,73.38,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,3.747,NOS0001
MAP3K7CL,56911,MAP3K7 C-terminal like,1.83e-07,0.0003651,1.54358,5.21606,1271.78,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,3.438,NOS0001
IGFBP2,3485,insulin like growth factor binding protein 2,4.32e-07,0.0006275,2.31685,5.05435,66.68,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,3.202,NOS0001
CCR8,1237,C-C motif chemokine receptor 8,4.28e-07,0.0006275,1.55474,5.05604,65.13,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,3.202,NOS0001
C2orf88,84281,chromosome 2 open reading frame 88,1.01e-06,0.0012441,1.58944,4.8893,287.04,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,2.905,NOS0001
LINC00892,100128420,long intergenic non-protein coding RNA 892,9.93e-07,0.0012441,1.28058,4.89295,75.71,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,2.905,NOS0001
NAT8B,51471,"N-acetyltransferase 8B (putative, gene/pseudogene)",1.2e-06,0.0013698,1.37898,4.85566,44.13,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,2.863,NOS0001
THRB-AS2,101927854,THRB antisense RNA 2,1.44e-06,0.0015389,1.68684,4.8188,287.16,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,2.813,NOS0001
CA2,760,carbonic anhydrase 2,2.18e-06,0.0019324,1.50185,4.73633,576.97,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,2.714,NOS0001
LINC00989,100506035,long intergenic non-protein coding RNA 989,2.76e-06,0.0021017,2.19789,4.68782,226.28,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,2.677,NOS0001
RAB27B,5874,"RAB27B, member RAS oncogene family",2.76e-06,0.0021017,1.36983,4.68821,61.6,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,2.677,NOS0001
LOC107985270,107985270,,3.46e-06,0.0025115,2.41319,4.64161,104.31,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,2.6,NOS0001
SNAI1,6615,snail family transcriptional repressor 1,3.8e-06,0.0025322,-5.99696,-4.6219,324.89,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,2.596,NOS0001
PIF1,80119,PIF1 5'-to-3' DNA helicase,4.93e-06,0.003152,1.55308,4.56774,39.05,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,2.501,NOS0001
CLSTN3,9746,calsyntenin 3,7.05e-06,0.0043362,1.32114,4.49206,175.12,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,2.363,NOS0001
TSC22D1,8848,TSC22 domain family member 1,7.73e-06,0.0043568,1.12844,4.47244,883.45,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,2.361,NOS0001
