experiment_accession,experiment_type,species,gene_id,gene_name,comparison_label,expression_value,expression_value_numeric,source_url,ingested_at
E-GEOD-153970,rnaseq_mrna_differential,Homo sapiens,ENSG00000004799,PDK4,'Severe acute respiratory syndrome coronavirus 2' vs 'mock' .foldChange,-1.7,-1.7,https://www.ebi.ac.uk/gxa/experiments-content/E-GEOD-153970/download/RNASEQ_MRNA_DIFFERENTIAL?geneQuery=%5B%5D&unit=FOLD_CHANGE&cutoff=0.05&heatmapMatrixSize=50&selectedColumnIds=&type=RNASEQ_MRNA_DIFFERENTIAL,2026-04-21T13:51:33.768681+00:00
E-GEOD-153970,rnaseq_mrna_differential,Homo sapiens,ENSG00000004799,PDK4,'Severe acute respiratory syndrome coronavirus 2' vs 'mock'.pValue,7.6071656036548e-22,7.6071656036548e-22,https://www.ebi.ac.uk/gxa/experiments-content/E-GEOD-153970/download/RNASEQ_MRNA_DIFFERENTIAL?geneQuery=%5B%5D&unit=FOLD_CHANGE&cutoff=0.05&heatmapMatrixSize=50&selectedColumnIds=&type=RNASEQ_MRNA_DIFFERENTIAL,2026-04-21T13:51:33.768681+00:00
E-GEOD-153970,rnaseq_mrna_differential,Homo sapiens,ENSG00000005249,PRKAR2B,'Severe acute respiratory syndrome coronavirus 2' vs 'mock' .foldChange,-1.2,-1.2,https://www.ebi.ac.uk/gxa/experiments-content/E-GEOD-153970/download/RNASEQ_MRNA_DIFFERENTIAL?geneQuery=%5B%5D&unit=FOLD_CHANGE&cutoff=0.05&heatmapMatrixSize=50&selectedColumnIds=&type=RNASEQ_MRNA_DIFFERENTIAL,2026-04-21T13:51:33.768681+00:00
E-GEOD-153970,rnaseq_mrna_differential,Homo sapiens,ENSG00000005249,PRKAR2B,'Severe acute respiratory syndrome coronavirus 2' vs 'mock'.pValue,8.73608680205859e-05,8.73608680205859e-05,https://www.ebi.ac.uk/gxa/experiments-content/E-GEOD-153970/download/RNASEQ_MRNA_DIFFERENTIAL?geneQuery=%5B%5D&unit=FOLD_CHANGE&cutoff=0.05&heatmapMatrixSize=50&selectedColumnIds=&type=RNASEQ_MRNA_DIFFERENTIAL,2026-04-21T13:51:33.768681+00:00
E-GEOD-153970,rnaseq_mrna_differential,Homo sapiens,ENSG00000006747,SCIN,'Severe acute respiratory syndrome coronavirus 2' vs 'mock' .foldChange,-1.1,-1.1,https://www.ebi.ac.uk/gxa/experiments-content/E-GEOD-153970/download/RNASEQ_MRNA_DIFFERENTIAL?geneQuery=%5B%5D&unit=FOLD_CHANGE&cutoff=0.05&heatmapMatrixSize=50&selectedColumnIds=&type=RNASEQ_MRNA_DIFFERENTIAL,2026-04-21T13:51:33.768681+00:00
E-GEOD-153970,rnaseq_mrna_differential,Homo sapiens,ENSG00000006747,SCIN,'Severe acute respiratory syndrome coronavirus 2' vs 'mock'.pValue,1.82436365230845e-05,1.82436365230845e-05,https://www.ebi.ac.uk/gxa/experiments-content/E-GEOD-153970/download/RNASEQ_MRNA_DIFFERENTIAL?geneQuery=%5B%5D&unit=FOLD_CHANGE&cutoff=0.05&heatmapMatrixSize=50&selectedColumnIds=&type=RNASEQ_MRNA_DIFFERENTIAL,2026-04-21T13:51:33.768681+00:00
E-GEOD-153970,rnaseq_mrna_differential,Homo sapiens,ENSG00000011422,PLAUR,'Severe acute respiratory syndrome coronavirus 2' vs 'mock' .foldChange,1.1,1.1,https://www.ebi.ac.uk/gxa/experiments-content/E-GEOD-153970/download/RNASEQ_MRNA_DIFFERENTIAL?geneQuery=%5B%5D&unit=FOLD_CHANGE&cutoff=0.05&heatmapMatrixSize=50&selectedColumnIds=&type=RNASEQ_MRNA_DIFFERENTIAL,2026-04-21T13:51:33.768681+00:00
E-GEOD-153970,rnaseq_mrna_differential,Homo sapiens,ENSG00000011422,PLAUR,'Severe acute respiratory syndrome coronavirus 2' vs 'mock'.pValue,3.7560912864127e-17,3.7560912864127e-17,https://www.ebi.ac.uk/gxa/experiments-content/E-GEOD-153970/download/RNASEQ_MRNA_DIFFERENTIAL?geneQuery=%5B%5D&unit=FOLD_CHANGE&cutoff=0.05&heatmapMatrixSize=50&selectedColumnIds=&type=RNASEQ_MRNA_DIFFERENTIAL,2026-04-21T13:51:33.768681+00:00
E-GEOD-153970,rnaseq_mrna_differential,Homo sapiens,ENSG00000011465,DCN,'Severe acute respiratory syndrome coronavirus 2' vs 'mock' .foldChange,-1.3,-1.3,https://www.ebi.ac.uk/gxa/experiments-content/E-GEOD-153970/download/RNASEQ_MRNA_DIFFERENTIAL?geneQuery=%5B%5D&unit=FOLD_CHANGE&cutoff=0.05&heatmapMatrixSize=50&selectedColumnIds=&type=RNASEQ_MRNA_DIFFERENTIAL,2026-04-21T13:51:33.768681+00:00
E-GEOD-153970,rnaseq_mrna_differential,Homo sapiens,ENSG00000011465,DCN,'Severe acute respiratory syndrome coronavirus 2' vs 'mock'.pValue,2.46909406934762e-06,2.46909406934762e-06,https://www.ebi.ac.uk/gxa/experiments-content/E-GEOD-153970/download/RNASEQ_MRNA_DIFFERENTIAL?geneQuery=%5B%5D&unit=FOLD_CHANGE&cutoff=0.05&heatmapMatrixSize=50&selectedColumnIds=&type=RNASEQ_MRNA_DIFFERENTIAL,2026-04-21T13:51:33.768681+00:00
