symbol,geneid,description,pvalue,padj,log2foldchange,stat,basemean,ingested_at,bronze_source_file,series_id,gb_acc,neg_log10_pvalue,dataset_id,input_geneid,input_symbol,target_id,approved_symbol,disease_id,disease_name,score_cancer_biomarkers,score_cancer_gene_census,score_clingen,score_clinical_precedence,score_crispr,score_crispr_screen,score_europepmc,score_eva,score_eva_somatic,score_expression_atlas,score_gene2phenotype,score_gene_burden,score_genomics_england,score_gwas_credible_sets,score_impc,score_intogen,score_orphanet,score_reactome,score_uniprot_literature,score_uniprot_variants
MLH3,27030,mutL homolog 3,1.16e-09,1.86e-05,1.95283,6.08522,660.07,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,4.731,NOS0001,27030,MLH3,ENSG00000119684,MLH3,MONDO_0005575,colorectal cancer,,,,,,,0.1663574668159962,0.839540167981952,,,,,,,,,,,0.607930797611621,
MLH3,27030,mutL homolog 3,1.16e-09,1.86e-05,1.95283,6.08522,660.07,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,4.731,NOS0001,27030,MLH3,ENSG00000119684,MLH3,MONDO_0005835,Lynch syndrome,,,0.0060793079761162,,,,0.190970918640653,0.8448630921109893,,,,,,,,,,,,
MLH3,27030,mutL homolog 3,1.16e-09,1.86e-05,1.95283,6.08522,660.07,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,4.731,NOS0001,27030,MLH3,ENSG00000119684,MLH3,EFO_1001512,endometrial carcinoma,,,,,,,0.0993595340829793,0.8313809491978322,,,,,,,,,,,,
MLH3,27030,mutL homolog 3,1.16e-09,1.86e-05,1.95283,6.08522,660.07,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,4.731,NOS0001,27030,MLH3,ENSG00000119684,MLH3,MONDO_0008170,ovarian cancer,,,,,,,0.1113914977857093,0.6246629574449972,,,,,,,,,,,,
MLH3,27030,mutL homolog 3,1.16e-09,1.86e-05,1.95283,6.08522,660.07,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,4.731,NOS0001,27030,MLH3,ENSG00000119684,MLH3,MONDO_0011962,endometrial cancer,,,,,,,0.1935110242768276,0.547137717850459,,,,,,,,,,,,
MLH3,27030,mutL homolog 3,1.16e-09,1.86e-05,1.95283,6.08522,660.07,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,4.731,NOS0001,27030,MLH3,ENSG00000119684,MLH3,EFO_1001950,colon carcinoma,,,,,,,,,0.547137717850459,,,,,,,,,,,
MLH3,27030,mutL homolog 3,1.16e-09,1.86e-05,1.95283,6.08522,660.07,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,4.731,NOS0001,27030,MLH3,ENSG00000119684,MLH3,EFO_0004266,primary ovarian insufficiency,,,,,,,,0.4377101742803672,,,,,,,0.5190669692188405,,,,,
MLH3,27030,mutL homolog 3,1.16e-09,1.86e-05,1.95283,6.08522,660.07,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,4.731,NOS0001,27030,MLH3,ENSG00000119684,MLH3,HP_0000924,Abnormality of the skeletal system,,,,,,,,,,,,,,0.285285832428032,,,,,,
MLH3,27030,mutL homolog 3,1.16e-09,1.86e-05,1.95283,6.08522,660.07,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,4.731,NOS0001,27030,MLH3,ENSG00000119684,MLH3,EFO_0001645,coronary artery disease,,,,,,,,,,,,,,0.2691185226588975,,,,,,
MLH3,27030,mutL homolog 3,1.16e-09,1.86e-05,1.95283,6.08522,660.07,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,4.731,NOS0001,27030,MLH3,ENSG00000119684,MLH3,HP_0020083,Furuncle,,,,,,,,,,,,,,0.2614742573306638,,,,,,
