ID,GB_ACC,adj.P.Val,P.Value,t,B,logFC,SPOT_ID
SOCS3,NM_003955.4,0.0663,0.000131,4.30919,1.052,0.911145,
PIK3R1,NM_181504.2,0.0663,0.000298,4.02618,0.329,0.62328,
TNFAIP3,NM_006290.2,0.0663,0.000313,4.00898,0.286,0.961649,
ECHS1,NM_004092.3,0.143,0.000947,-3.6183,-0.685,-0.280607,
MAP3K8,NM_001244134.1,0.143,0.001126,3.55581,-0.837,0.626563,
MAPK3,NM_001040056.1,0.287,0.00297,-3.19892,-1.682,-0.324488,
RORA,NM_002943.3,0.287,0.003164,3.17522,-1.737,0.548991,
CEACAM3,NM_001815.3,0.3282,0.004596,3.03312,-2.06,0.982821,
CD69,NM_001781.1,0.3282,0.004957,3.004,-2.125,0.674367,
YES1,NM_005433.3,0.3282,0.005169,2.98783,-2.161,0.619744,
HLA-DQA1,NM_002122.3,0.332,0.006491,-2.89915,-2.357,-3.48693,
CEACAM1,NM_001712.4,0.332,0.006546,2.89582,-2.364,0.730645,
ARG1,NM_000045.3,0.332,0.008194,2.80714,-2.556,1.03974,
SLC2A3/14,NM_006931.2,0.332,0.009094,2.76556,-2.645,0.366103,
CCR2,NM_001123041.2,0.332,0.00948,-2.74887,-2.681,-0.584392,
CBLB,NM_170662.3,0.332,0.010283,2.71612,-2.75,0.40609,
HLA-DQB1,NM_002123.3,0.332,0.010465,-2.70903,-2.765,-3.07243,
BRWD1,NM_001007246.2,0.332,0.011287,2.67834,-2.829,0.464502,
BATF,NM_006399.3,0.332,0.011298,-2.67795,-2.83,-0.392659,
ID2,NM_002166.4,0.332,0.01165,2.66547,-2.856,0.31219,
CCNT1,NM_001240.2,0.332,0.012438,2.63874,-2.912,0.366977,
JARID2,NM_001267040.1,0.332,0.012698,2.63024,-2.929,0.290887,
ICOSLG,NM_015259.5,0.332,0.013044,2.61921,-2.952,0.51928,
CCL2,NM_002982.3,0.332,0.013358,-2.60942,-2.972,-0.815938,
FCAR,NM_133278.2,0.332,0.015117,2.55821,-3.077,0.63912,
GADD45A,NM_001199741.1,0.332,0.01632,2.52626,-3.141,0.477186,
TRPM7,NM_017672.4,0.332,0.016889,2.51189,-3.17,0.354277,
PTPN6,NM_002831.5,0.332,0.01702,-2.50865,-3.176,-0.286543,
CD180,NM_005582.2,0.332,0.017719,-2.49171,-3.21,-0.473431,
PPP2CB,NM_001009552.1,0.332,0.018771,-2.46734,-3.259,-0.271491,
PPM1A,NM_021003.4,0.332,0.019213,2.45747,-3.278,0.207952,
DCTN6,NM_006571.3,0.332,0.020222,2.4357,-3.321,0.248357,
PPP2R5A,NM_001199756.1,0.332,0.020615,-2.42748,-3.337,-0.237071,
CD200R1,NM_138806.3,0.332,0.020927,-2.42107,-3.35,-0.448084,
CD27,NM_001242.4,0.332,0.020938,-2.42083,-3.35,-0.434736,
IRF2,NM_002199.3,0.332,0.021004,-2.4195,-3.353,-0.292988,
RRAS,NM_006270.3,0.332,0.021552,-2.40847,-3.374,-0.429655,
TICAM1,NM_014261.1,0.332,0.021808,-2.40339,-3.384,-0.258669,
VAV3,NM_001079874.1,0.332,0.02237,2.39247,-3.405,0.325685,
ALDOA,NM_000034.3,0.332,0.022594,-2.38817,-3.414,-0.208768,
MMP9,NM_004994.2,0.332,0.022669,2.38674,-3.416,0.757363,
SF3B1,NM_001005526.1,0.332,0.022962,2.38121,-3.427,0.265166,
CISH,NM_145071.2,0.332,0.023896,-2.36397,-3.46,-0.629724,
TNFRSF1A,NM_001065.2,0.332,0.024645,-2.35059,-3.486,-0.357582,
JAK1,NM_002227.1,0.332,0.024774,2.34834,-3.49,0.192438,
CXCL1/2/3,NM_002090.3,0.332,0.025881,2.3293,-3.527,0.633694,
SLC7A5,NM_003486.5,0.332,0.026254,2.32306,-3.538,0.419703,
CD4,NM_000616.4,0.332,0.027492,-2.30288,-3.577,-0.266969,
MCL1,NM_021960.5,0.332,0.02757,2.30164,-3.579,0.221175,
TRIM33,NM_015906.3,0.332,0.027901,2.29639,-3.589,0.318876,
CLCF1,NM_013246.2,0.332,0.027993,2.29495,-3.592,0.411851,
SOCS1,NM_003745.1,0.332,0.028181,2.29199,-3.597,0.390479,
AK4,NM_001005353.1,0.332,0.029242,2.27571,-3.628,0.297476,
PIK3CA,NM_006218.2,0.332,0.029788,2.26753,-3.643,0.28548,
IL27RA,NM_004843.3,0.332,0.029893,-2.26597,-3.646,-0.279315,
CNTF,NM_000614.4,0.332,0.029988,2.26457,-3.649,0.373615,
MS4A1,NM_152866.2,0.332,0.030368,2.25898,-3.659,0.501583,
DNM1L,NM_001278463.1,0.332,0.030621,2.25531,-3.666,0.21001,
STAT4,NM_003151.2,0.332,0.030845,2.25208,-3.672,0.330468,
PRDM1,NM_182907.1,0.3324,0.031411,2.24399,-3.687,0.371264,
BCL6,NM_001706.2,0.3407,0.032732,2.22563,-3.721,0.502562,
CYP26C1,NM_183374.2,0.3424,0.033433,2.21615,-3.738,0.474213,
PML,NM_033238.2,0.3437,0.03431,2.20453,-3.759,0.184006,
KDM3A,NM_018433.6,0.3437,0.034645,2.20017,-3.767,0.260651,
HLA-DRB1/3,NM_002124.3,0.3471,0.036319,-2.17891,-3.806,-0.648808,
JUNB,NM_002229.2,0.3471,0.036949,2.17113,-3.82,0.493912,
JUN,NM_002228.4,0.3471,0.03715,2.16868,-3.825,0.771353,
PLCG2,NM_002661.2,0.3471,0.037228,2.16772,-3.826,0.457401,
PKN2,NM_006256.1,0.3471,0.037792,2.1609,-3.839,0.30057,
TOX,NM_014729.2,0.3471,0.038266,2.15524,-3.849,0.386522,
ITPR2,NM_002223.2,0.3504,0.040124,2.13364,-3.888,0.311163,
BLK,NM_001715.2,0.3504,0.040455,2.12988,-3.894,0.362288,
TAX1BP1,NM_001206901.1,0.3504,0.041738,2.11558,-3.92,0.20889,
PSMB10,NM_002801.3,0.3504,0.041816,-2.11472,-3.921,-0.20767,
TPP2,NM_003291.2,0.3504,0.041889,2.11392,-3.923,0.255026,
JUND,NM_005354.4,0.3504,0.041934,2.11343,-3.924,0.306145,
MAP2K2,NM_030662.3,0.3581,0.043424,-2.09735,-3.952,-0.184074,
ATR,NM_001184.2,0.3654,0.044887,2.08205,-3.979,0.319121,
HEY1,NM_012258.3,0.3669,0.045821,2.0725,-3.996,0.502446,
IL1R2,NM_173343.1,0.3669,0.046225,2.06843,-4.003,0.796886,
PIAS1,NM_016166.1,0.3677,0.047152,2.05919,-4.019,0.169862,
IL6R,NM_000565.2,0.3677,0.048241,-2.04855,-4.037,-0.250597,
RHEB,NM_005614.3,0.3677,0.048629,-2.04479,-4.044,-0.192886,
USP15,NM_001252078.1,0.3677,0.048638,2.04471,-4.044,0.311254,
CXCR3,NM_001504.1,0.368,0.049262,-2.03875,-4.054,-0.349467,
GK,NM_000167.3,0.3713,0.050822,2.02413,-4.079,0.417162,
ZBTB16,NM_006006.4,0.3713,0.050873,2.02365,-4.08,0.520228,
TNFSF10,NM_003810.2,0.3714,0.051876,-2.01446,-4.096,-0.367024,
AIFM1,NM_004208.2,0.3714,0.052061,-2.01278,-4.099,-0.173438,
DRAP1,NM_006442.2,0.3908,0.055394,-1.9834,-4.149,-0.206913,
PPP2CA,NM_002715.2,0.3923,0.056835,-1.97118,-4.169,-0.185216,
NFIL3,NM_001289999.1,0.3923,0.056838,1.97116,-4.169,0.378751,
NFKBIA,NM_020529.1,0.3937,0.05813,1.96043,-4.187,0.40019,
