Symbol,Description,GeneID,log2(fold change),-log10(Pvalue)
LOC100288175,uncharacterized LOC100288175,100288175,-2.606,1.488
LOC107985376,,107985376,1.706,1.869
ERRFI1,ERBB receptor feedback inhibitor 1,54206,-3.18,1.469
SLC25A33,solute carrier family 25 member 33,84275,-1.501,1.406
E2F2,E2F transcription factor 2,1870,1.046,1.39
MED18,mediator complex subunit 18,54797,1.266,1.551
SDC3,syndecan 3,9672,1.106,1.455
DYNLT4,dynein light chain Tctex-type 4,343521,-1.442,1.316
LINC00853,long intergenic non-protein coding RNA 853,100874253,2.021,1.39
PDZK1IP1,PDZK1 interacting protein 1,10158,3.129,4.497
TAL1,"TAL bHLH transcription factor 1, erythroid differentiation factor",6886,1.438,1.5
CACHD1,cache domain containing 1,57685,-2.12,1.653
SYDE2,synapse defective Rho GTPase homolog 2,84144,-1.187,1.608
H2BC21,H2B clustered histone 21,8349,1.13,1.316
AQP10,aquaporin 10,89872,1.625,1.387
KCNN3,potassium calcium-activated channel subfamily N member 3,3782,2.555,1.535
ETV3,ETS variant transcription factor 3,2117,-1.972,1.487
PBX1,PBX homeobox 1,5087,1.389,1.414
SELP,selectin P,6403,1.377,1.324
PTGS2,prostaglandin-endoperoxide synthase 2,5743,-2.112,2.266
LOC105371661,uncharacterized LOC105371661,105371661,1.716,1.679
TMCC2,transmembrane and coiled-coil domain family 2,9911,1.145,1.869
C1orf116,chromosome 1 open reading frame 116,79098,1.725,1.545
LAMB3,laminin subunit beta 3,3914,-4.079,1.414
G0S2,G0/G1 switch 2,50486,-3.267,1.316
HSD11B1,hydroxysteroid 11-beta dehydrogenase 1,3290,2.245,1.529
LOC105372903,uncharacterized LOC105372903,105372903,1.307,1.436
LYPLAL1-DT,LYPLAL1 divergent transcript,643723,1.436,1.545
IRF2BP2,interferon regulatory factor 2 binding protein 2,359948,-1.284,1.354
ASAP2,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 2",8853,1.443,1.469
GRHL1,grainyhead like transcription factor 1,29841,1.113,1.45
RRM2,ribonucleotide reductase regulatory subunit M2,6241,1.69,1.471
LTBP1,latent transforming growth factor beta binding protein 1,4052,1.627,1.377
VIT,vitrin,5212,2.5,2.027
C2orf74-DT,C2orf74 divergent transcript,339803,1.178,1.343
LOC105374768,uncharacterized LOC105374768,105374768,1.62,1.302
LGALSL,galectin like,29094,1.168,1.368
MEIS1,Meis homeobox 1,4211,1.8,1.989
SMANTIS,SMARCA4 interacting SWI/SNF chromatin remodeling complex scaffold lncRNA,107985770,1.569,2.027
NAT8B,"N-acetyltransferase 8B (putative, gene/pseudogene)",51471,1.379,2.863
IGKV1-39,immunoglobulin kappa variable 1-39,28930,1.614,1.494
IGKV1D-39,immunoglobulin kappa variable 1D-39,28893,1.729,1.487
ASTL,astacin like metalloendopeptidase,431705,-3.446,1.477
ARID5A,AT-rich interaction domain 5A,10865,-1.75,1.302
NPAS2,neuronal PAS domain protein 2,4862,-1.435,1.652
IL1R1,interleukin 1 receptor type 1,3554,-2.14,1.306
FHL2,four and a half LIM domains 2,2274,1.328,2.052
EDAR,ectodysplasin A receptor,10913,-1.328,1.767
IL1B,interleukin 1 beta,3553,-2.946,1.837
LOC107985819,,107985819,2.495,2.302
TNFAIP6,TNF alpha induced protein 6,7130,-3.148,1.425
NR4A2,nuclear receptor subfamily 4 group A member 2,4929,-3.536,1.475
CDCA7,cell division cycle associated 7,83879,1.034,1.463
C2orf88,chromosome 2 open reading frame 88,84281,1.589,2.905
CAVIN2,caveolae associated protein 2,8436,1.811,2.057
RAPH1,Ras association (RalGDS/AF-6) and pleckstrin homology domains 1,65059,-2.467,1.39
IGFBP2,insulin like growth factor binding protein 2,3485,2.317,3.202
CXCR2P1,C-X-C motif chemokine receptor 2 pseudogene 1,3580,1.075,1.362
SPEG,striated muscle enriched protein kinase,10290,-1.31,1.482
SH3BP4,SH3 domain binding protein 4,23677,-1.524,1.422
TMEM40,transmembrane protein 40,55287,1.436,1.396
ZNF385D,zinc finger protein 385D,79750,2.087,2.112
THRB,thyroid hormone receptor beta,7068,1.6,1.53
THRB-AS2,THRB antisense RNA 2,101927854,1.687,2.813
EOMES,eomesodermin,8320,1.194,1.475
CSRNP1,cysteine and serine rich nuclear protein 1,64651,-2.46,1.332
CCR8,C-C motif chemokine receptor 8,1237,1.555,3.202
HGD,"homogentisate 1,2-dioxygenase",3081,1.143,1.853
MYLK-AS1,MYLK antisense RNA 1,100506826,1.258,1.501
MYLK,myosin light chain kinase,4638,1.551,1.545
LOC105369194,uncharacterized LOC105369194,105369194,1.712,1.325
ITGB5,integrin subunit beta 5,3693,1.796,1.545
