symbol,geneid,description,pvalue,padj,log2foldchange,stat,basemean,ingested_at,bronze_source_file,series_id,gb_acc
MLH3,27030.0,mutL homolog 3,1.16e-09,1.86e-05,1.95283,6.08522,660.07,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
PDZK1IP1,10158.0,PDZK1 interacting protein 1,4.35e-09,3.18e-05,3.12859,5.87034,262.25,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
ENKUR,219670.0,"enkurin, TRPC channel interacting protein",5.97e-09,3.18e-05,1.54009,5.81756,121.0,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
CXCL5,6374.0,C-X-C motif chemokine ligand 5,9.44e-09,3.77e-05,1.95981,5.74051,187.16,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
LOC102724765,102724765.0,uncharacterized LOC102724765,3.82e-08,0.000122,1.41457,5.49908,484.43,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
LOC100287036,100287036.0,uncharacterized LOC100287036,6.39e-08,0.0001703,1.64614,5.40746,157.43,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
SAMD4A-AS1,729451.0,SAMD4A antisense RNA 1,7.85e-08,0.0001792,1.83465,5.37056,73.38,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
MAP3K7CL,56911.0,MAP3K7 C-terminal like,1.83e-07,0.0003651,1.54358,5.21606,1271.78,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
IGFBP2,3485.0,insulin like growth factor binding protein 2,4.32e-07,0.0006275,2.31685,5.05435,66.68,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
CCR8,1237.0,C-C motif chemokine receptor 8,4.28e-07,0.0006275,1.55474,5.05604,65.13,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
TRNE,4556.0,tRNA-Glu,3.78e-07,0.0006275,2.08735,5.07953,140.13,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
