symbol,title,pvalue,log2foldchange,idarea
ACE,K01283 (ACE),0.339,0.287258,8FAC7FE1
ADAM17,K06059 (ADAM17),0.67,0.0861969,4F9E7AFE
ADAR,K12968 (ADAR),0.934,0.0166097,33D4EB41
C1QA,"K03986 (C1QA), K03987 (C1QB), K03988 (C1QG), K01330 (C1R), K01331 (C1S)",0.74,0.139435,D418E90B
C1QB,"K03986 (C1QA), K03987 (C1QB), K03988 (C1QG), K01330 (C1R), K01331 (C1S)",0.463,0.388996,D418E90B
C1R,"K03986 (C1QA), K03987 (C1QB), K03988 (C1QG), K01330 (C1R), K01331 (C1S)",0.254,-0.352928,D418E90B
C2,K01332 (C2),0.335,0.360294,5B6002B0
C3,K03990 (C3),0.348,-0.392975,35638A7E
C3,K03990 (C3),0.348,-0.392975,C1686937
C3AR1,K04009 (C3AR1),0.289,0.239724,5BD2FB85
C3AR1,K04009 (C3AR1),0.289,0.239724,E5F4E90B
C5,K03994 (C5),0.623,0.160513,1EE36E46
C5,"K03994 (C5), K03995 (C6), K03996 (C7), K03997 (C8A), K03998 (C8B), K03999 (C8G), K04000 (C9)",0.623,0.160513,E13E7D80
C5AR1,K04010 (C5AR1),0.0392,-1.39882,DCDB6380
C5AR1,K04010 (C5AR1),0.0392,-1.39882,E5F1E917
C8G,"K03995 (C6), K03996 (C7), K03997 (C8A), K03998 (C8B), K03999 (C8G), K04000 (C9)",0.171,0.361091,D71EE14B
C8G,"K03994 (C5), K03995 (C6), K03996 (C7), K03997 (C8A), K03998 (C8B), K03999 (C8G), K04000 (C9)",0.171,0.361091,E13E7D80
CASP1,K01370 (CASP1),0.145,0.445725,B91372B2
CCL2,K14624 (CCL2),0.00878,-1.75338,0A4EF919
CCL2,K14624 (CCL2),0.00878,-1.75338,459B1D90
CFD,K01334 (CFD),0.474,-0.216652,4B76AF97
CGAS,K17834 (CGAS),0.0584,0.460767,4C677E51
CXCL10,K12671 (CXCL10),0.665,-0.225994,33A31174
CYBB,K21421 (CYBB),0.558,-0.171447,CF97F9E3
EIF2AK2,K16195 (EIF2AK2),0.0994,-0.384219,1DBE713A
F13A1,K03917 (F13A1),0.00712,0.909101,5324E965
F13A1,"K03917 (F13A1), K03906 (F13B)",0.00712,0.909101,E22C5A3D
FCGR2A,K06472 (FCGR2A),0.951,-0.0151196,6BEC6E95
FOS,"K04448 (JUN), K04379 (FOS)",0.602292,0.249707,27B5504B
HBEGF,K08523 (HBEGF),0.0625,-1.1161,A8B8052B
